key,pref.id,sex,pref.E,pref.A,pref.J,人口,受療率_入院_悪性新生物_2017,受療率_入院_心疾患_2017,受療率_入院_脳血管疾患_2017,受療率_外来_悪性新生物_2017,受療率_外来_心疾患_2017,受療率_外来_脳血管疾患_2017,病院数_2014,診療所数_2014,がん治療認定医数_2020,循環器専門医数_2020,内視鏡専門医数_2020,75歳未満調整死亡率_悪性新生物_2018,60歳以上人口_2015,学習率2016,読書率_2016,書籍購入代金_2017,平均寿命_2015,健康寿命_2016,75歳未満調整死亡率_悪政新生物_2018,年齢調整死亡率_心疾患_2015,年齢調整死亡率_脳血管疾患_2015,60歳以上人口_2015,学習率_2016,読書率_2016,人口・世帯_年少人口割合2020,人口・世帯_老年人口割合2020,人口・世帯_生産年齢人口割合2020,人口・世帯_粗死亡率2020,人口・世帯_共働き世帯割合2020,自然環境_年平均気温,自然環境_年平均相対湿度,自然環境_降水量（年間）,自然環境_雪日数（年間）,経済基盤_県民所得,行政基盤_財政力指数,行政基盤_収支比率,行政基盤_生活保護費割合（県財政）,行政基盤_教育費割合（県財政）,教育_最終学歴が大学・大学院卒の者の割合,労働_１次産業就業者比率,労働_２次産業就業者比率,労働_３次産業就業者比率,労働_完全失業率,文化・スポーツ_図書館数（人口100万人当たり）
50,3,F,Iwate,Iwt,岩手,***,,,,,,,,,,,,,,,,,86.44,74.46,60.84170153,37.9,29.3,276291,30.2,38.3,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,4,F,Miyagi,Myg,宮城,***,,,,,,,,,,,,,,,,,87.16,74.43,57.44359609,30.9,23.7,419639,37.6,43.5,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,5,F,Akita,Akt,秋田,***,,,,,,,,,,,,,,,,,86.38,74.53,60.46728446,29.6,26.9,248161,28,33.9,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,6,F,Yamagata,Ymgt,山形,***,,,,,,,,,,,,,,,,,86.96,75.06,54.32549866,31.4,27.4,243153,31.6,36.4,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,7,F,Fukushima,Fks,福島,***,,,,,,,,,,,,,,,,,86.4,75.05,57.83661936,41.1,27.4,383349,28.9,37.7,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,8,F,Ibaraki,Ibr,茨城,***,,,,,,,,,,,,,,,,,86.33,75.52,58.09292255,37.3,24.9,533440,33.7,39.4,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,9,F,Tochigi,Tch,栃木,***,,,,,,,,,,,,,,,,,86.24,75.73,60.57488495,39.3,28.5,357002,32.9,40,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,10,F,Gunma,Gnm,群馬,***,,,,,,,,,,,,,,,,,86.84,75.2,55.9562005,36.6,23.5,372063,35.1,39.8,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,11,F,Saitama,Stm,埼玉,***,,,,,,,,,,,,,,,,,86.66,74.67,56.64619927,38.9,20.9,1213169,37.5,45.3,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,12,F,Chiba,Chb,千葉,***,,,,,,,,,,,,,,,,,86.91,75.17,53.26042802,41.3,21.7,1072554,40.6,46.8,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,13,F,Tokyo,Tky,東京,***,,,,,,,,,,,,,,,,,87.26,74.24,55.47929896,32.2,19.4,2065419,46.7,53.1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,14,F,Kanagawa,Kng,神奈川,***,,,,,,,,,,,,,,,,,87.24,74.63,57.65804866,31.5,19,1462684,43.9,45.2,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,15,F,Niigata,Ngt,新潟,***,,,,,,,,,,,,,,,,,87.32,75.44,56.2819022,29,25.4,481667,29.1,36.9,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,16,F,Toyama,Tym,富山,***,,,,,,,,,,,,,,,,,87.42,75.77,51.9036811,27.3,22.5,224203,35.9,41.5,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,17,F,Ishikawa,Ish,石川,***,,,,,,,,,,,,,,,,,87.28,75.18,55.79469539,32.9,21.9,221208,34.1,38,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,18,F,Fukui,Fuk,福井,***,,,,,,,,,,,,,,,,,87.54,75.26,48.78168121,33,17.9,154509,35.2,36.3,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,19,F,Yamanashi,Ymn,山梨,***,,,,,,,,,,,,,,,,,87.22,76.22,50.18602883,29.5,23,162076,36.1,38.7,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,20,F,Nagano,Ngn,長野,***,,,,,,,,,,,,,,,,,87.67,74.72,49.57675121,28.3,22.2,425339,35.4,41.4,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,21,F,Gifu,Gif,岐阜,***,,,,,,,,,,,,,,,,,86.82,75.65,55.49380505,34.8,19.8,389650,34.7,37.1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,22,F,Shizuoka,Shz,静岡,***,,,,,,,,,,,,,,,,,87.1,75.37,54.68220936,32.5,23.3,701807,34.7,41.3,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,23,F,Aichi,Ach,愛知,***,,,,,,,,,,,,,,,,,86.86,76.32,55.9183707,31.8,20.7,1192664,36.8,42.2,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,24,F,Mie,Mie,三重,***,,,,,,,,,,,,,,,,,86.99,76.3,47.29869866,32.4,23.1,344858,34.3,37.6,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,25,F,Shiga,Shg,滋賀,***,,,,,,,,,,,,,,,,,87.57,74.07,48.45450716,33.8,17.1,233041,39.2,42,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,26,F,Kyoto,Kyt,京都,***,,,,,,,,,,,,,,,,,87.35,73.97,54.10430281,37.6,18.8,485101,41,45.3,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,27,F,Osaka,Osk,大阪,***,,,,,,,,,,,,,,,,,86.73,74.46,57.29861385,37.6,16.6,1561892,38,42.8,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,28,F,Hyogo,Hyg,兵庫,***,,,,,,,,,,,,,,,,,87.07,74.23,54.12285604,33.2,19.1,1030286,40.1,41.6,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,29,F,Nara,Nar,奈良,***,,,,,,,,,,,,,,,,,87.25,74.1,52.57241306,39.1,17.8,269286,38.9,45.5,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,30,F,Wakayama,Wky,和歌山,***,,,,,,,,,,,,,,,,,86.47,74.42,51.45952561,42.1,19.5,207510,34,32.9,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,31,F,Tottori,Ttt,鳥取,***,,,,,,,,,,,,,,,,,87.27,74.14,51.68732985,30.1,22.9,120945,31.4,38.7,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,32,F,Shimane,Shm,島根,***,,,,,,,,,,,,,,,,,87.64,75.74,47.72575108,30.3,21.3,155815,31.5,38.2,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,33,F,Okayama,Oky,岡山,***,,,,,,,,,,,,,,,,,87.67,75.09,51.33576518,32.7,21,373834,38.8,42.5,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,34,F,Hiroshima,Hrs,広島,***,,,,,,,,,,,,,,,,,87.33,73.62,54.11700902,35.7,19,538526,35.8,42.7,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,35,F,Yamaguchi,Ymgc,山口,***,,,,,,,,,,,,,,,,,86.88,75.18,60.98246906,38.3,21.2,315502,33.1,39.1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,36,F,Tokushima,Tks,徳島,***,,,,,,,,,,,,,,,,,86.66,74.04,47.38687906,33,20.1,162474,34.2,37.1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,37,F,Kagawa,Kgw,香川,***,,,,,,,,,,,,,,,,,87.21,74.83,51.39379401,39.3,18.1,197785,35.1,38.5,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,38,F,Ehime,Ehm,愛媛,***,,,,,,,,,,,,,,,,,86.82,74.59,54.03317639,42.8,20,296378,33.5,36.8,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,39,F,Kochi,Kch,高知,***,,,,,,,,,,,,,,,,,87.01,75.17,59.55632062,35.7,20.2,166949,28.9,35.9,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,40,F,Fukuoka,Fkk,福岡,***,,,,,,,,,,,,,,,,,87.14,74.66,57.50474396,23.9,17.7,948659,38.3,39,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,41,F,Saga,Sag,佐賀,***,,,,,,,,,,,,,,,,,87.12,75.07,56.04759586,29.1,20.7,167597,35.4,35.5,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,42,F,Nagasaki,Ngs,長崎,***,,,,,,,,,,,,,,,,,86.97,74.71,65.25481266,35.8,19.3,295574,32.2,36.5,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,43,F,Kumamoto,Kmm,熊本,***,,,,,,,,,,,,,,,,,87.49,,51.62299845,32.2,19.2,368096,32.5,36,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,44,F,Oita,Oit,大分,***,,,,,,,,,,,,,,,,,87.31,75.38,52.73757576,30.3,18.8,250250,33.1,35.8,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,45,F,Miyazaki,Myz,宮崎,***,,,,,,,,,,,,,,,,,87.12,74.93,56.87277815,37.5,26.3,232397,29.7,33.9,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,46,F,Kagoshima,Kgs,鹿児島,***,,,,,,,,,,,,,,,,,86.78,75.51,51.48864038,33.7,27.5,346392,31,33.7,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,47,F,Okinawa,Okn,沖縄,***,,,,,,,,,,,,,,,,,87.44,75.46,60.84257823,30.5,17.5,203635,34.1,37.4,,,,,,,,,,,,,,,,,,,,
